{'k': 10, 'reg_penalty': 10}
Step  600 , error  1284616.83989 , delta error  2573.28165318 , grad norm  1602.9415797
Step  700 , error  1051636.63401 , delta error  2106.54843194 , grad norm  1450.30641452
Step  800 , error  860913.0202 , delta error  1724.48003968 , grad norm  1312.20938098
Step  900 , error  704780.9044 , delta error  1411.71482898 , grad norm  1187.2646784
Step  1000 , error  576965.882909 , delta error  1155.67962188 , grad norm  1074.2189084
Step  1100 , error  472331.827064 , delta error  946.083101073 , grad norm  971.938335376
Step  1200 , error  386674.317628 , delta error  774.501402359 , grad norm  879.397400085
Step  1300 , error  316551.587775 , delta error  634.039068069 , grad norm  795.668354507
Step  1400 , error  259146.155733 , delta error  519.051620015 , grad norm  719.911902505
Step  1500 , error  212151.570741 , delta error  424.918530006 , grad norm  651.368744929
Step  1600 , error  173679.711025 , delta error  347.857418224 , grad norm  589.351939073
Step  1700 , error  142184.902144 , delta error  284.771983373 , grad norm  533.23999226
Step  1800 , error  116401.802333 , delta error  233.127534788 , grad norm  482.470617758
Step  1900 , error  95294.5562402 , delta error  190.849112684 , grad norm  436.53508863
Step  2000 , error  78015.17223 , delta error  156.238094823 , grad norm  394.973131629
Step  2100 , error  63869.4497008 , delta error  127.903933552 , grad norm  357.368309058
Step  2200 , error  52289.0866478 , delta error  104.708276985 , grad norm  323.343841619
Step  2300 , error  42808.8463012 , delta error  85.7192269101 , grad norm  292.558829944
Step  2400 , error  35047.865121 , delta error  70.1738941121 , grad norm  264.704836557
Step  2500 , error  28694.3509429 , delta error  57.4477456759 , grad norm  239.50279379
Step  2600 , error  23493.0563566 , delta error  47.0295120963 , grad norm  216.700206469
Step  2700 , error  19235.0239498 , delta error  38.5006456138 , grad norm  196.068621206
Step  2800 , error  15749.1913645 , delta error  31.5185042079 , grad norm  177.401336846
Step  2900 , error  12895.5188526 , delta error  25.8025854614 , grad norm  160.511333048
Step  3000 , error  10559.363201 , delta error  21.1232571095 , grad norm  145.229396192
Step  3100 , error  8646.87198271 , delta error  17.2925314368 , grad norm  131.402423805
Step  3200 , error  7081.21308487 , delta error  14.1565128294 , grad norm  118.891890473
Step  3300 , error  5799.48802975 , delta error  11.5892150255 , grad norm  107.572459865
Step  3400 , error  4750.20507733 , delta error  9.48749965026 , grad norm  97.330728923
Step  3500 , error  3891.21058948 , delta error  7.76693267848 , grad norm  88.0640916582
Step  3600 , error  3187.99554744 , delta error  6.35839234753 , grad norm  79.6797111259
Step  3700 , error  2612.30918697 , delta error  5.20529224044 , grad norm  72.0935892986
Step  3800 , error  2141.02405393 , delta error  4.261307973 , grad norm  65.229725502
Step  3900 , error  1755.2068845 , delta error  3.48851615366 , grad norm  59.0193549824
Step  4000 , error  1439.357983 , delta error  2.85587084819 , grad norm  53.4002599742
Step  4100 , error  1180.78853991 , delta error  2.33795634137 , grad norm  48.3161463633
Step  4200 , error  969.11087421 , delta error  1.91396608814 , grad norm  43.7160797002
Step  4300 , error  795.821121064 , delta error  1.56686683398 , grad norm  39.553974911
Step  4400 , error  653.957599668 , delta error  1.28271432365 , grad norm  35.7881345945
Step  4500 , error  537.821136522 , delta error  1.05009310719 , grad norm  32.3808312771
Step  4600 , error  442.746108426 , delta error  0.859657938114 , grad norm  29.2979294424
Step  4700 , error  364.913007099 , delta error  0.703758339588 , grad norm  26.5085435464
Step  4800 , error  301.194995417 , delta error  0.576131256092 , grad norm  23.9847285935
Step  4900 , error  249.032290842 , delta error  0.471649443089 , grad norm  21.7012001719
Step  5000 , error  206.329329547 , delta error  0.38611548653 , grad norm  19.6350811447
Step  5001 , error  206.329329547 , delta error  0.38611548653 , grad norm  19.6350811447
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 41.33%
[0.0]
Step  100 , error  3494209.13916 , delta error  7000.67576507 , grad norm  2643.89310867
Step  200 , error  2860402.13519 , delta error  5730.53735326 , grad norm  2392.05754131
Step  300 , error  2341581.88113 , delta error  4690.93652908 , grad norm  2164.23170965
Step  400 , error  1916879.59193 , delta error  3839.99429425 , grad norm  1958.11993797
Step  500 , error  1569216.70863 , delta error  3143.45260221 , grad norm  1771.64815281
Step  600 , error  1284615.46776 , delta error  2573.28231635 , grad norm  1602.94178187
Step  700 , error  1051635.28041 , delta error  2106.54755987 , grad norm  1450.30611096
Step  800 , error  860911.800258 , delta error  1724.4783391 , grad norm  1312.20873136
Step  900 , error  704779.876864 , delta error  1411.71274251 , grad norm  1187.263799
Step  1000 , error  576965.071543 , delta error  1155.67742053 , grad norm  1074.21788371
Step  1100 , error  472331.234538 , delta error  946.080944955 , grad norm  971.937226573
Step  1200 , error  386673.934454 , delta error  774.499380569 , grad norm  879.396251246
Step  1300 , error  316551.397995 , delta error  634.037224837 , grad norm  795.667197111
Step  1400 , error  259146.140484 , delta error  519.049971765 , grad norm  719.910758771
Step  1500 , error  212151.710433 , delta error  424.917076453 , grad norm  651.367630259
Step  1600 , error  173679.986629 , delta error  347.856149528 , grad norm  589.350863856
Step  1700 , error  142185.295896 , delta error  284.770884697 , grad norm  533.238963207
Step  1800 , error  116402.298079 , delta error  233.126589152 , grad norm  482.469638885
Step  1900 , error  95295.1395555 , delta error  190.84830271 , grad norm  436.53416199
Step  2000 , error  78015.8304025 , delta error  156.237403756 , grad norm  394.972257853
Step  2100 , error  63870.1716376 , delta error  127.903345819 , grad norm  357.367487757
Step  2200 , error  52289.8627416 , delta error  104.707778459 , grad norm  323.343071685
Step  2300 , error  42809.6682802 , delta error  85.7188049925 , grad norm  292.558109769
Step  2400 , error  35048.725897 , delta error  70.1735377071 , grad norm  264.7041642
Step  2500 , error  28695.2444649 , delta error  57.447445102 , grad norm  239.502167099
Step  2600 , error  23493.9774752 , delta error  47.0292589676 , grad norm  216.69962317
Step  2700 , error  19235.9682943 , delta error  38.5004327074 , grad norm  196.068078973
Step  2800 , error  15750.1552335 , delta error  31.5183253313 , grad norm  177.400833348
Step  2900 , error  12896.4991172 , delta error  25.8024353252 , grad norm  160.510865981
Step  3000 , error  10560.3572208 , delta error  21.1231312092 , grad norm  145.228963312
Step  3100 , error  8647.8775325 , delta error  17.292425947 , grad norm  131.402022937
Step  3200 , error  7082.22829184 , delta error  14.1564245078 , grad norm  118.891519531
Step  3300 , error  5800.51131943 , delta error  11.5891411294 , grad norm  107.572116853
Step  3400 , error  4751.2351274 , delta error  9.48743786356 , grad norm  97.3304119432
Step  3500 , error  3892.24629041 , delta error  7.76688104802 , grad norm  88.0637989116
Step  3600 , error  3189.03596905 , delta error  6.35834922831 , grad norm  79.6794409129
Step  3700 , error  2613.35355001 , delta error  5.20525624859 , grad norm  72.0933400178
Step  3800 , error  2142.07170609 , delta error  4.26127794555 , grad norm  65.2294956477
Step  3900 , error  1756.25728007 , delta error  3.48849111419 , grad norm  59.0191431419
Step  4000 , error  1440.41066576 , delta error  2.8558499776 , grad norm  53.4000648244
Step  4100 , error  1181.84312864 , delta error  2.33793895311 , grad norm  48.315966667
Step  4200 , error  970.16705057 , delta error  1.91395160716 , grad norm  43.7159143019
Step  4300 , error  796.878619349 , delta error  1.56685477896 , grad norm  39.5538227334
Step  4400 , error  655.016198215 , delta error  1.28270429197 , grad norm  35.7879946337
Step  4500 , error  538.880650497 , delta error  1.05008476228 , grad norm  32.3807025992
Step  4600 , error  443.806383772 , delta error  0.859650998785 , grad norm  29.2978111791
Step  4700 , error  365.97391547 , delta error  0.703752571028 , grad norm  26.5084348913
Step  4800 , error  302.256429928 , delta error  0.576126462327 , grad norm  23.9846287984
Step  4900 , error  250.094162517 , delta error  0.471645460639 , grad norm  21.7011085429
Step  5000 , error  207.391564344 , delta error  0.386112179082 , grad norm  19.634997039
Step  5001 , error  207.391564344 , delta error  0.386112179082 , grad norm  19.634997039
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 41.84%
[0.0, 0.0]
Step  100 , error  3494207.06622 , delta error  7000.6718498 , grad norm  2643.89236333
Step  200 , error  2860400.56395 , delta error  5730.53176249 , grad norm  2392.05637214
Step  300 , error  2341580.86272 , delta error  4690.93124583 , grad norm  2164.2304904
Step  400 , error  1916879.05581 , delta error  3839.98996924 , grad norm  1958.11883563
Step  500 , error  1569216.55141 , delta error  3143.44933024 , grad norm  1771.64723152
Step  600 , error  1284615.58907 , delta error  2573.27998121 , grad norm  1602.94105547
Step  700 , error  1051635.59532 , delta error  2106.54598483 , grad norm  1450.30556969
Step  800 , error  860912.241759 , delta error  1724.47734907 , grad norm  1312.20835557
Step  900 , error  704780.394314 , delta error  1411.71218646 , grad norm  1187.26356598
Step  1000 , error  576965.627941 , delta error  1155.6771766 , grad norm  1074.21777108
Step  1100 , error  472331.803656 , delta error  946.080918621 , grad norm  971.937213714
Step  1200 , error  386674.498312 , delta error  774.499500418 , grad norm  879.396319886
Step  1300 , error  316551.944781 , delta error  634.037437996 , grad norm  795.667331399
Step  1400 , error  259146.662913 , delta error  519.050239803 , grad norm  719.910945138
Step  1500 , error  212152.204482 , delta error  424.917371957 , grad norm  651.367857189
Step  1600 , error  173680.450575 , delta error  347.856453367 , grad norm  589.351121636
Step  1700 , error  142185.729605 , delta error  284.771183894 , grad norm  533.239243686
Step  1800 , error  116402.702475 , delta error  233.126875249 , grad norm  482.469935251
Step  1900 , error  95295.5162328 , delta error  190.84857053 , grad norm  436.534468575
Step  2000 , error  78016.1813478 , delta error  156.237650472 , grad norm  394.972569965
Step  2100 , error  63870.4990321 , delta error  127.903570255 , grad norm  357.367801533
Step  2200 , error  52290.1688231 , delta error  104.707980574 , grad norm  323.343383969
Step  2300 , error  42809.9552495 , delta error  85.7189855044 , grad norm  292.558418005
Step  2400 , error  35048.995857 , delta error  70.1736978103 , grad norm  264.70446634
Step  2500 , error  28695.4993838 , delta error  57.4475862713 , grad norm  239.502461529
Step  2600 , error  23494.2191657 , delta error  47.0293828139 , grad norm  216.699908641
Step  2700 , error  19236.1984054 , delta error  38.50054088 , grad norm  196.068354544
Step  2800 , error  15750.3752503 , delta error  31.5184194501 , grad norm  177.401098339
Step  2900 , error  12896.7103662 , delta error  25.802516937 , grad norm  160.511119932
Step  3000 , error  10560.5608787 , delta error  21.1232017613 , grad norm  145.229205943
Step  3100 , error  8648.07463707 , delta error  17.2924867718 , grad norm  131.402254123
Step  3200 , error  7082.41975353 , delta error  14.1564768175 , grad norm  118.89173927
Step  3300 , error  5800.69793363 , delta error  11.5891860157 , grad norm  107.572325245
Step  3400 , error  4751.41758625 , delta error  9.48747630171 , grad norm  97.3306091741
Step  3500 , error  3892.42519417 , delta error  7.766913903 , grad norm  88.0639852315
Step  3600 , error  3189.21183668 , delta error  6.35837726309 , grad norm  79.6796166247
Step  3700 , error  2613.52682899 , delta error  5.20528013261 , grad norm  72.0935054643
Step  3800 , error  2142.24278129 , delta error  4.2612982637 , grad norm  65.2296512015
Step  3900 , error  1756.42648178 , delta error  3.48850837546 , grad norm  59.0192891968
Step  4000 , error  1440.57827683 , delta error  2.85586462344 , grad norm  53.400201788
Step  4100 , error  1182.00939088 , delta error  2.33795136523 , grad norm  48.3160949544
Step  4200 , error  970.332170324 , delta error  1.91396211469 , grad norm  43.7160343309
Step  4300 , error  797.042772418 , delta error  1.56686366501 , grad norm  39.5539349202
Step  4400 , error  655.179534166 , delta error  1.2827117995 , grad norm  35.7880993896
Step  4500 , error  539.043296402 , delta error  1.05009109939 , grad norm  32.3808003275
Step  4600 , error  443.968447457 , delta error  0.859656343363 , grad norm  29.2979022734
Step  4700 , error  366.13548832 , delta error  0.703757074889 , grad norm  26.5085197334
Step  4800 , error  302.417589309 , delta error  0.576130254821 , grad norm  23.9847077571
Step  4900 , error  250.254973859 , delta error  0.471648651814 , grad norm  21.7011819731
Step  5000 , error  207.55208293 , delta error  0.38611486244 , grad norm  19.6350652809
Step  5001 , error  207.55208293 , delta error  0.38611486244 , grad norm  19.6350652809
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 42.35%
[0.0, 0.0, 0.0]
Step  100 , error  3494217.76599 , delta error  7000.78527143 , grad norm  2643.91373093
Step  200 , error  2860402.46688 , delta error  5730.59815546 , grad norm  2392.07019128
Step  300 , error  2341577.76111 , delta error  4690.96752851 , grad norm  2164.23883172
Step  400 , error  1916873.35363 , delta error  3840.00739188 , grad norm  1958.12325643
Step  500 , error  1569209.73621 , delta error  3143.45526155 , grad norm  1771.64888697
